SS_Leah_Idle	 	#No_Card
SS_MineWorm_Dash 	 	#Enemy Basic Attack
SS_MineWorm_Sneak  	#Enemy Basic Shield
SS_MineWorm_Spit 	 	#Enemy Special Screech
SS_Leah_Attack 		#Leah Beam
SS_Leah_EmpoweredPunch  #Leah Strike
SS_Leah_BlockShield 	#Leah Shield
SS_Leah_FlashBang 	#Leah Special Flash bang
SS_Leah_EmpoweredPunch  #Leah Special Smoke Screen
SS_Leah_Rage 		#Leah Special Rage
SS_Dawson_Attack 		#Dawson Beam
SS_Dawson_Slash 		#Dawson Swing
SS_Dawson_Block 		#Dawson Shield
SS_Dawson_Charge_Up 	#Dawson Special Charge up
SS_Dawson_Slash 		#Dawson Special TimeWarp

