PLAYER
LEAH_BEAM, SS_Leah_Attack
LEAH_STRIKE, SS_Leah_EmpoweredPunch
LEAH_SHIELD, SS_Leah_BlockShield
SPECIAL_FLASHBANG, SS_Leah_FlashBang
SPECIAL_SMOKESCREEN, SS_Leah_FlashBang
SPECIAL_RAGE, SS_Leah_Rage

MOLE_RAT
BASIC_ATTACK, SS_MoleRat_Bite
BASIC_SHIELD, SS_MoleRat_Curl
SPECIAL_SCREECH, SS_MoleRat_Rage

MINE_WORM
BASIC_ATTACK, SS_MineWorm_Slash
BASIC_SHIELD, SS_MineWorm_Shield
SPECIAL_SCREECH, SS_MineWorm_Sneak

DAWSON_MINI
DAWSON_BEAM, SS_Dawson_Attack
DAWSON_SWING, SS_Dawson_Slash
DAWSON_SHIELD, SS_Dawson_BlockShield
SPECIAL_CHARGEUP, SS_Dawson_ChargeUp
SPECIAL_TIMEWARP, SS_Dawson_ChargeUp


DAWSON_FINAL
DAWSON_BEAM, SS_Dawson_Attack
DAWSON_SWING, SS_Dawson_Slash
DAWSON_SHIELD, SS_Dawson_BlockShield
SPECIAL_CHARGEUP, SS_Dawson_ChargeUp
SPECIAL_TIMEWARP, SS_Dawson_ChargeUp
